Nummer,Name,Start,Ziel,Etappen,KM,HM,Abstieg,Höchster Punkt,Tiefster Punkt,Typ
49,Vier-Quellen-Weg,"Andermatt, Oberalppass","Furkapass, Belvédère",5,82,4700,4400,,,Regional
50,ViaSpluga,Thusis,Chiavenna (I),4,68,2900,3300,,,Regional
51,Furka-Höhenweg,Oberwald,Andermatt,2,35,2100,2000,,,Regional
52,Sentiero Lago di Lugano,Lugano (Magliaso),Mendrisio,9,135,9000,9600,,,Regional
53,Bernina-Tour,Poschiavo,Maloja,5,68,4700,3000,,,Regional
54,Mittelbünden-Panoramaweg,Lenzerheide,Davos,2,41,2600,2500,,,Regional
55,ViaSuworow,Airolo,Ilanz,11,170,7600,8100,,,Regional
56,Lötschberg-Panoramaweg,Kiental,Fafleralp,4,51,3100,2300,,,Regional
57,Obwaldner Höhenweg,Alpnachstad (Pilatus),Stanserhorn,6,99,6300,6500,,,Regional
58,Chemin des Bisses,Martigny (Col des Planches),Grimentz,7,105,4700,4600,,,Regional
59,Sentiero Cristallina,Bignasco,Airolo,3,43,3000,2300,,,Regional
60,ViaRhenana,Kreuzlingen,Basel,10,195,3100,3200,,,Regional
61,Walliser Sonnenweg,Crans-Montana,Brig,4,76,3300,4100,,,Regional
62,Walserweg Gottardo,Binn,"Obersaxen, Friggahüs",14,210,13900,14000,,,Regional
63,Schwyzer Höhenweg,Küssnacht a.R.,Einsiedeln,5,62,4200,3800,,,Regional
64,ViaSett,Chur,Chiavenna (I),5,110,4500,4800,,,Regional
65,Grenzpfad Napfbergland,Langenthal,Brünigpass,6,115,5900,5400,,,Regional
66,Liechtensteiner Panoramaweg,Malbun (FL),Ruggell (FL),3,47,2500,3600,,,Regional
67,Dreiland-Wanderweg,"Basel, Schifflände","Weil am RheinRiehenBasel, Schifflände",3,43,900,900,,,Regional
68,WALSA-Weg,Bad Ragaz,Amden,4,53,2700,2300,,,Regional
69,Züri Oberland-Höhenweg,Winterthur,Rapperswil,4,76,2900,2900,,,Regional
70,ViaFrancigena,(Canterbury)Ballaigues,Col du Gd St-Bernard(Rom),10,200,5600,4000,,,Regional
71,Chemin des Trois-Lacs,Yverdon-les-Bains,Murten,3,61,760,740,,,Regional
72,Prättigauer Höhenweg,Landquart,Klosters,4,77,4600,3900,,,Regional
73,Sardona-Welterbe-Weg,Filzbach,Flims,6,100,8100,7700,,,Regional
74,Sentiero Verzasca,Sonogno,Locarno,2,35,1350,2100,,,Regional
75,Schanfigger Höhenweg,Arosa,"Maladers, alte Post",4,47,2400,3200,,,Regional
76,Seeland-Solothurn-Weg,Erlach,Solothurn,4,68,820,820,,,Regional
78,Freiburger Voralpenweg,Fribourg,Château-dOex,5,73,3700,3400,,,Regional
79,Thurgauer Panoramaweg,Amriswil,Wil SG,2,37,950,820,,,Regional
80,ViaJura,Basel,Biel,7,130,4200,4100,,,Regional
81,Fribourg en diagonale,Gruyères,Murten,3,68,1650,1950,,,Regional
82,Sanetsch-Muveran-Weg,Gsteig,Ovronnaz,3,42,3100,3000,,,Regional
83,Emmenuferweg,Brienzer Rothorn,EmmensprungEmmenbrücke,4,65,850,2700,,,Regional
84,Zürichsee-Rundweg,"Zürich, Bürkliplatz","Zürich, Bürkliplatz",10,130,2900,2900,,,Regional
85,Senda Sursilvana,Oberalppass,Chur,5,105,3300,4800,,,Regional
86,Rheintaler Höhenweg,Rorschach,Sargans,6,110,5000,4900,,,Regional
87,Via Engiadina,Maloja,Vinadi,12,165,7900,8600,,,Regional
88,Nidwaldner Höhenweg,Stanserhorn,"Emmetten, Stn. Niederbauen",6,94,6100,6400,,,Regional
90,ViaStockalper,Brig,Gondo,3,30,1800,1600,,,Regional
91,Chemin du Jura bernois,Moutier,La Chaux-de-Fonds,4,64,2200,1800,,,Regional
,Neckerweg,Schwägalp,Bazenheid,2,38,1000,1750,,,
95,Au fil du Doubs,Les Brenets,St-Ursanne,4,68,1500,1900,,,Regional
98,Waldstätterweg,Brunnen,Rütli,7,115,4800,4800,,,Regional
99,Weg der Schweiz,Seelisberg (Rütli),Brunnen,4,35,1500,1500,,,Regional
261,Sentier du Lac de la Gruyère,,,3,43,1500,1500,,,Lokal
360,Brienzersee Drei Wasserfälleweg,,,2,18,780,780,873,,Lokal
381,Schwarzwasser-Sense-Schluchtenweg,,,2,23,950,950,831,,Lokal
478,Weissenstein-Passwang-Weg,,,2,32,1850,1350,1273,,Lokal
570,Nidwaldner Zentrumsweg,,,2,20,1450,1450,,,Lokal
599,ViaUrschweiz,,,2,20,1950,780,,,Lokal
693,Via Capricorn,,,3,51,3400,3400,,,Lokal
712,Sentiero Alpino Calanca,,,3,45,3400,4500,,,Lokal
737,Via Calanca,,,2,21,1250,500,,,Lokal
757,Alte Averserstrasse,,,2,28,1850,820,,,Lokal
980,Appenzeller Alpenweg,,,2,29,1700,1700,1564,,Lokal
