Name;Alternativname;Höhe;SAC-Sektion;Schlafplätze;Schutzraum;Ein­wei­hung;Kanton;Kommentar;Typ;Extrainfos
Bordierhütte;;2886;Genf;44;10;1927;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.14461|EW=7.84985|type=mountain|sortkey=NS|elevation=2886|region=CH-VS|text=ICON2|name=Bordierhütte}}&nbsp;&#124;&nbsp;"
Bouquetinbiwak;Refuge des Bouquetins;2980;Val de Joux;20;20;1975;Wallis;;SAC-Hütte;"{{Coordinate|NS=45.97089|EW=7.53049|type=mountain|sortkey=NS|elevation=2980|region=CH-VS|text=ICON2|name=Bouquetinbiwak}}&nbsp;&#124;&nbsp;"
Bovalhütte;Chamanna da Boval;2495;Bernina;90;14;1913;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.41519|EW=9.92505|type=mountain|sortkey=NS|elevation=2495|region=CH-GR|text=ICON2|name=Bovalhütte}}&nbsp;&#124;&nbsp;"
Britanniahütte;;3030;Genf;100;10;1951;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.06008|EW=7.93504|type=mountain|sortkey=NS|elevation=3030|region=CH-VS|text=ICON2|name=Britanniahütte}}&nbsp;&#124;&nbsp;"
Brunnihütte;;1860;Engelberg;42;8;1932;Obwalden;;SAC-Hütte;"{{Coordinate|NS=46.84089|EW=8.41063|type=mountain|sortkey=NS|elevation=1860|region=CH-OW|text=ICON2|name=Brunnihütte}}&nbsp;&#124;&nbsp;"
Cadlimohütte;Capanna Cadlimo;2570;Uto;80;20;1916;Tessin;;SAC-Hütte;"{{Coordinate|NS=46.571554|EW=8.695213|type=mountain|sortkey=NS|elevation=2570|region=CH-TI|text=ICON2|name=Cadlimohütte}}&nbsp;&#124;&nbsp;"
Calandahütte;;2073;Rätia;30;6;1917;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46/52/58.88|EW=09/28/55.9|type=mountain|sortkey=NS|elevation=2073|region=CH-GR|text=ICON2|name=Calandahütte}}&nbsp;&#124;&nbsp;"
Capanna Campo Tencia;;2140;Tessin;70;30;1977;Tessin;;SAC-Hütte;"{{Coordinate|NS=46.44421|EW=8.73264|type=mountain|sortkey=NS|elevation=2140|region=CH-TI|text=ICON2|name=Capanna Campo Tencia}}&nbsp;&#124;&nbsp;"
Carschinahütte;;2236;Rätia;75;10;1968;Graubünden;;SAC-Hütte;"{{Coordinate|NS=47.006995|EW=9.82734 |type=mountain|sortkey=NS|elevation=2236|region=CH-GR|text=ICON2|name=Carschinahütte}}&nbsp;&#124;&nbsp;"
Cavardirashütte;Camona da Cavardiras;2649;Winterthur;65;20;1928;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46/44/32.9|EW=8/48/51.2|type=mountain|sortkey=NS|elevation=2649|region=CH-GR|text=ICON2|name=Cavardirashütte}}&nbsp;&#124;&nbsp;"
Chalinhütte;Refuge de Chalin;2595;Chaussy;8;8;1958;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.17921|EW=6.94720|type=mountain|sortkey=NS|elevation=2595|region=CH-VS|text=ICON2|name=Refuge de Chalin}}&nbsp;&#124;&nbsp;"
Chanrionhütte;Cabane de Chanrion;2462;Genf;59;7;1890;Wallis;;SAC-Hütte;"{{Coordinate|NS=45.93920|EW=7.38090|type=mountain|sortkey=NS|elevation=2462|region=CH-VS|text=ICON2|name=Cabane de Chanrion}}&nbsp;&#124;&nbsp;"
Chelenalphütte;;2350;Aarau;56;14;1926;Uri;;SAC-Hütte;"{{Coordinate|NS=46/40/18|EW=8/26/24|type=mountain|sortkey=NS|elevation=2350|region=CH-UR|text=ICON2|name=Chelenalphütte}}&nbsp;&#124;&nbsp;"
Claridenhütte;;2457;Bachtel;75;12;1941;Glarus;;SAC-Hütte;"{{Coordinate|NS=46.85955|EW=8.93572|type=mountain|sortkey=NS|elevation=2457|region=CH-GL|text=ICON2|name=Claridenhütte}}&nbsp;&#124;&nbsp;"
Coazhütte;Chamanna Coaz;2610;Rätia;80;10;1916;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.38370|EW=9.83542|type=mountain|sortkey=NS|elevation=2610|region=CH-GR|text=ICON2|name=Coazhütte}}&nbsp;&#124;&nbsp;"
Corno Gries Hütte;Capanna Corno-Gries;2338;Rossberg;50;9;1926;Tessin;;SAC-Hütte;"{{Coordinate|NS=46.46704|EW=8.41003|type=mountain|sortkey=NS|elevation=2462|region=CH-TI|text=ICON2|name=Capanna Corno Gries}}&nbsp;&#124;&nbsp;"
Cresta-Biwak;;3025;Saas;6;6;1992;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.04475|EW=8.03018|type=mountain|sortkey=NS|elevation=2462|region=CH-VS|text=ICON2|name=Cresta-Biwak}}&nbsp;&#124;&nbsp;"
Cristallinahütte;Capanna Cristallina;2575;Tessin;120;24;2003;Tessin;;SAC-Hütte;"{{Coordinate|NS=46.47185|EW=8.52623|type=mountain|sortkey=NS|elevation=2575|region=CH-TI|text=ICON2|name=Cristallinahütte}}&nbsp;&#124;&nbsp;"
Cufercalhütte;;2385;Rätia;23;6;1937;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.593329|EW= 9.359016 |type=mountain|sortkey=NS|elevation=2385|region=CH-GR|text=ICON2|name=Cufercalhütte}}&nbsp;&#124;&nbsp;"
Dammahütte;;2438;Pilatus;23;6;1916;Uri;;SAC-Hütte;"{{Coordinate|NS=46.64487|EW=8.45778|type=mountain|sortkey=NS|elevation=2438|region=CH-UR|text=ICON2|name=Dammahütte}}&nbsp;&#124;&nbsp;"
Dent-Blanche-Biwak;Bivouac au Col de la Dent Blanche;3540;Jaman;15;15;1976;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.04193|EW=7.60709|type=mountain|sortkey=NS|elevation=3540|region=CH-VS|text=ICON2|name=Bivouac au Col de la Dent Blanche}}&nbsp;&#124;&nbsp;"
Dent Blanche Hütte;Cabane de la Dent Blanche;3507;Jaman;45;20;1931;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.02022|EW=7.60088|type=mountain|sortkey=NS|elevation=3507|region=CH-VS|text=ICON2|name= Cabane de la Dent Blanche}}&nbsp;&#124;&nbsp;"
